,name,x,y,zone,parval1,k,i,j,parnme,tpl,tpl_filename,pp_filename,pargp,dercom,offset,parchglim,parlbnd,partrans,parubnd,scale
0,pp_0000,6398138.220051237,1922675.4736548383,4,0.002799195,0,3,31,hk1_i:3_j:31_zone:4,~    hk1_i:3_j:31_zone:4    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
1,pp_0001,6393062.245026783,1916718.5887683297,5,0.1734608,0,10,17,hk1_i:10_j:17_zone:5,~    hk1_i:10_j:17_zone:5    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
2,pp_0002,6396284.012013867,1918086.1477180421,4,0.002786361,0,10,24,hk1_i:10_j:24_zone:4,~    hk1_i:10_j:24_zone:4    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
3,pp_0003,6399505.77900095,1919453.7066677546,4,0.00537645,0,10,31,hk1_i:10_j:31_zone:4,~    hk1_i:10_j:31_zone:4    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
4,pp_0004,6394429.803976495,1913496.8217812462,5,0.1781191,0,17,17,hk1_i:17_j:17_zone:5,~    hk1_i:17_j:17_zone:5    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
5,pp_0005,6397651.570963578,1914864.3807309587,4,0.003805431,0,17,24,hk1_i:17_j:24_zone:4,~    hk1_i:17_j:24_zone:4    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
6,pp_0006,6400873.337950662,1916231.939680671,4,0.003504315,0,17,31,hk1_i:17_j:31_zone:4,~    hk1_i:17_j:31_zone:4    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
7,pp_0007,6404095.104937745,1917599.4986303835,4,0.002247382,0,17,38,hk1_i:17_j:38_zone:4,~    hk1_i:17_j:38_zone:4    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
8,pp_0008,6395797.3629262075,1910275.0547941627,5,0.1137697,0,24,17,hk1_i:24_j:17_zone:5,~    hk1_i:24_j:17_zone:5    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
9,pp_0009,6399019.129913291,1911642.6137438752,5,0.09420352,0,24,24,hk1_i:24_j:24_zone:5,~    hk1_i:24_j:24_zone:5    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
10,pp_0010,6402240.896900374,1913010.1726935876,4,0.005335956,0,24,31,hk1_i:24_j:31_zone:4,~    hk1_i:24_j:31_zone:4    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
11,pp_0011,6405462.663887458,1914377.7316433,4,0.004870007,0,24,38,hk1_i:24_j:38_zone:4,~    hk1_i:24_j:38_zone:4    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
12,pp_0012,6397164.92187592,1907053.2878070793,5,0.1448621,0,31,17,hk1_i:31_j:17_zone:5,~    hk1_i:31_j:17_zone:5    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
13,pp_0013,6400386.688863004,1908420.8467567917,5,0.2909326,0,31,24,hk1_i:31_j:24_zone:5,~    hk1_i:31_j:24_zone:5    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
14,pp_0014,6403608.455850087,1909788.4057065041,5,0.1854144,0,31,31,hk1_i:31_j:31_zone:5,~    hk1_i:31_j:31_zone:5    ~,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat.tpl,C:\GSP\sv\model\SV_mod_V2_owhm2\master\pp2024\hk1pp.dat,hk1,1,0.0,factor,0.0001,log,100.0,1.0
