,station_name,station_no,station_id,ts_id,ts_name,parametertype_id,parametertype_name,from,to
0,ADR16-0153_1,ADR16-0153_1,42009,65566010,02.Final Water Elevation,536,Groundwater_elevation,2023-02-02T08:00:00.000Z,2023-12-11T08:00:00.000Z
5,PLP04-0019_1,PLP04-0019_1,41927,65573010,02.Final Water Elevation,536,Groundwater_elevation,2023-01-30T08:00:00.000Z,2024-04-05T08:00:00.000Z
8,PLP04-0051_1,PLP04-0051_1,42081,65576010,02.Final Water Elevation,536,Groundwater_elevation,2010-02-17T08:00:00.000Z,2023-12-05T08:00:00.000Z
12,PLP05-0002_1,PLP05-0002_1,42011,65580010,02.Final Water Elevation,536,Groundwater_elevation,2016-01-01T08:00:00.000Z,2023-12-28T08:00:00.000Z
13,PLP05-0002_2,PLP05-0002_2,42012,65581010,02.Final Water Elevation,536,Groundwater_elevation,2016-01-01T08:00:00.000Z,2023-12-28T08:00:00.000Z
14,PLP05-0005_1,PLP05-0005_1,41932,65582010,02.Final Water Elevation,536,Groundwater_elevation,2019-03-01T08:00:00.000Z,2023-11-14T08:00:00.000Z
16,PLP05-0052_1,PLP05-0052_1,42013,65584010,02.Final Water Elevation,536,Groundwater_elevation,2022-01-17T08:00:00.000Z,2023-12-14T08:00:00.000Z
18,PLP05-0079_1,PLP05-0079_1,42015,65586010,02.Final Water Elevation,536,Groundwater_elevation,2016-03-30T08:00:00.000Z,2023-12-06T08:00:00.000Z
22,PLP05-0089_1,PLP05-0089_1,42083,65590010,02.Final Water Elevation,536,Groundwater_elevation,2023-02-08T08:00:00.000Z,2023-12-11T08:00:00.000Z
25,PLP06-0044_1,PLP06-0044_1,42018,65593010,02.Final Water Elevation,536,Groundwater_elevation,2010-03-25T08:00:00.000Z,2023-12-06T08:00:00.000Z
26,PLP06-0056_1,PLP06-0056_1,41934,65594010,02.Final Water Elevation,536,Groundwater_elevation,2022-01-03T08:00:00.000Z,2022-12-05T08:00:00.000Z
30,PLP06-0081_1,PLP06-0081_1,42086,65598010,02.Final Water Elevation,536,Groundwater_elevation,2015-01-13T08:00:00.000Z,2023-12-18T08:00:00.000Z
32,PLP07-0011_1,PLP07-0011_1,41938,65600010,02.Final Water Elevation,536,Groundwater_elevation,2010-05-03T08:00:00.000Z,2023-12-04T08:00:00.000Z
37,PLP07-0037_1,PLP07-0037_1,42087,65605010,02.Final Water Elevation,536,Groundwater_elevation,2014-02-10T08:00:00.000Z,2023-11-13T08:00:00.000Z
41,PLP07-0096_1,PLP07-0096_1,42088,65609010,02.Final Water Elevation,536,Groundwater_elevation,2013-10-20T08:00:00.000Z,2023-11-17T08:00:00.000Z
42,PLP07-0097_1,PLP07-0097_1,41900,65610010,02.Final Water Elevation,536,Groundwater_elevation,2010-02-19T08:00:00.000Z,2023-11-15T08:00:00.000Z
46,PLP08-0084_1,PLP08-0084_1,42023,65614010,02.Final Water Elevation,536,Groundwater_elevation,2016-03-12T08:00:00.000Z,2017-12-30T08:00:00.000Z
49,PLP08-0089_1,PLP08-0089_1,42024,65617010,02.Final Water Elevation,536,Groundwater_elevation,2010-09-20T08:00:00.000Z,2023-12-30T08:00:00.000Z
50,PLP08-0095_1,PLP08-0095_1,42025,65618010,02.Final Water Elevation,536,Groundwater_elevation,2023-04-06T08:00:00.000Z,2024-07-14T08:00:00.000Z
51,PLP08-0098_1,PLP08-0098_1,42026,65619010,02.Final Water Elevation,536,Groundwater_elevation,2022-03-18T08:00:00.000Z,2023-12-15T08:00:00.000Z
54,PLP09-0001_1,PLP09-0001_1,41945,65622010,02.Final Water Elevation,536,Groundwater_elevation,2023-01-13T08:00:00.000Z,2023-12-21T08:00:00.000Z
57,PLP09-0004_2,PLP09-0004_2,42029,65625010,02.Final Water Elevation,536,Groundwater_elevation,2021-12-30T08:00:00.000Z,2023-12-28T08:00:00.000Z
58,PLP09-0004_3,PLP09-0004_3,42030,65626010,02.Final Water Elevation,536,Groundwater_elevation,2021-12-30T08:00:00.000Z,2023-12-28T08:00:00.000Z
59,PLP09-0010_1,PLP09-0010_1,42089,65627010,02.Final Water Elevation,536,Groundwater_elevation,2022-09-30T08:00:00.000Z,2023-12-31T08:00:00.000Z
62,PLP09-0035_1,PLP09-0035_1,42031,65630010,02.Final Water Elevation,536,Groundwater_elevation,2022-01-03T08:00:00.000Z,2023-10-02T08:00:00.000Z
63,PLP09-0057_1,PLP09-0057_1,41891,65631010,02.Final Water Elevation,536,Groundwater_elevation,2019-01-11T08:00:00.000Z,2023-12-12T08:00:00.000Z
64,PLP09-0062_1,PLP09-0062_1,42092,65632010,02.Final Water Elevation,536,Groundwater_elevation,2010-02-14T08:00:00.000Z,2013-03-18T08:00:00.000Z
65,PLP09-0075_1,PLP09-0075_1,41904,65633010,02.Final Water Elevation,536,Groundwater_elevation,2010-11-17T08:00:00.000Z,2023-11-07T08:00:00.000Z
66,PLP09-0081_1,PLP09-0081_1,41947,65634010,02.Final Water Elevation,536,Groundwater_elevation,2024-04-19T08:00:00.000Z,2024-04-19T08:00:00.000Z
68,PLP09-0098_1,PLP09-0098_1,42093,65636010,02.Final Water Elevation,536,Groundwater_elevation,2014-01-10T08:00:00.000Z,2015-01-06T08:00:00.000Z
71,PLP10-0050_1,PLP10-0050_1,42008,65639010,02.Final Water Elevation,536,Groundwater_elevation,2022-03-30T08:00:00.000Z,2023-12-16T08:00:00.000Z
72,PLP10-0055_1,PLP10-0055_1,42032,65640010,02.Final Water Elevation,536,Groundwater_elevation,2016-03-11T08:00:00.000Z,2019-12-01T08:00:00.000Z
