,station_name,station_no,site_name,station_latitude,station_longitude,Vert_coord_Loc,TOS_1,BOS_1,TOS_2,BOS_2,TOS_3,BOS_3,TOS_4,BOS_4,TOS_5,BOS_5,TOS_6,BOS_6,TOS_7,BOS_7,TOS_8,BOS_8,Depth_to_Bot_Perf,Depth_to_Top_Perf,Depth_Category,Subbasin_Name,GWREF_DATUM,Web_Station_Name,Well_Depth,geometry
326,Son0388,004N005W34D001M,Sonoma Creek,38.1541,-122.4082,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6444279.921858213 1818203.3857989707)
327,Son0389,004N005W34D080M,Sonoma Creek,38.1541,-122.4082,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6444279.921858213 1818203.3857989707)
323,Son0385,004N005W28Q001M,Sonoma Creek,38.1578,-122.4173,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6441669.227374799 1819562.7378847217)
322,Son0384,004N005W28P001M,Sonoma Creek,38.1578,-122.4219,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6440346.476203298 1819568.8397286527)
258,Son0310,381122122234301,Sonoma Creek,38.1894611,-122.3952778,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,0.0,,,POINT (6448051.974578665 1831064.8833511188)
321,Son0383,004N005W14L001M,Sonoma Creek,38.1903,-122.3853,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6450921.169918402 1831358.0913206604)
467,Son0530,4910700-002,Sonoma Creek,38.192778,-122.388889,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6449893.464664392 1832264.9247436963)
466,Son0529,4910700-001,Sonoma Creek,38.193333,-122.383333,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6451491.19416959 1832460.2679866587)
468,Son0531,4910700-003,Sonoma Creek,38.193333,-122.388889,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6449894.3296873 1832467.045895183)
319,Son0381,004N005W14D001M,Sonoma Creek,38.1975,-122.3899,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6449610.267153322 1833985.8367741858)
213,Son0256,380937122274101,Sonoma Creek,38.16027778,-122.4614722,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,,300.0,,375,POINT (6428971.904042396 1820526.4605876831)
57,PLP08-0104_1,PLP08-0104_1,PRMD,38.17318185,-122.450688,,,,,,,,,,,,,,,,,,,,,PETALUMA VALLEY,42.33,,,POINT (6432096.146745606 1825210.342558766)
410,Son0473,4901120-001,Sonoma Creek,38.174739,-122.450555,,,,,,,,,,,,,,,,,,,,Other,,,,,POINT (6432137.19519403 1825777.2388572535)
225,Son0270,381221122270801,Sonoma Creek,38.2060833,-122.4522778,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,,60.0,,560,POINT (6431698.732872451 1837194.7015723523)
226,Son0271,381228122270401,Sonoma Creek,38.2079722,-122.451361,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,,105.0,,845,POINT (6431965.602142613 1837881.2936348254)
412,Son0475,4901129-001,Sonoma Creek,38.207984,-122.451361,,,,,,,,,,,,,,,,,,,,Other,,,,,POINT (6431965.623489485 1837885.5909658063)
216,Son0259,381250122273001,Sonoma Creek,38.21402778,-122.4585,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,38.0,,100,POINT (6429925.317863072 1840096.877639909)
435,Son0498,4901278-001,Sonoma Creek,38.21405,-122.458534,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6429915.589527448 1840105.018974083)
437,Son0500,4901310-001,Sonoma Creek,38.214175,-122.454737,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6431006.803757882 1840145.0641329351)
221,Son0266,381251122271701,Sonoma Creek,38.2142222,-122.4547222,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,31.0,,340,POINT (6431011.1422365345 1840162.2321832199)
299,Son0353,380900122261901,Sonoma Creek,38.15,-122.4388333,,,,,,,,,,,,,,,,,,,,,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6435463.511589454 1816751.252289086)
324,Son0386,004N005W32B001M,Sonoma Creek,38.1541,-122.4356,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6436400.520251247 1818239.932833833)
325,Son0387,004N005W32C001M,Sonoma Creek,38.1541,-122.4402,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6435077.702098252 1818246.3013627157)
447,Son0510,4901399-001,Sonoma Creek,38.164885,-122.444295,,,,,,,,,,,,,,,,,,,,Other,PETALUMA VALLEY,,,,POINT (6433919.311894662 1822179.735449705)
0,WRM22-0063_2,WRM22-0063_2,PRMD,38.164888,-122.444302,,,,,,,,,,,,,,,,,,360.0,240.0,Medium (200-500ft),,3.0614903883559808,,360.0,POINT (6433917.304556169 1822180.8378281058)
411,Son0474,4901120-002,Sonoma Creek,38.179082,-122.445496,,,,,,,,,,,,,,,,,,,,Other,,,,,POINT (6433599.342835632 1827351.7164393472)
235,Son0283,381120122262901,Sonoma Creek,38.18891667,-122.4414722,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,200.0,280,Other,,100.0,,280,POINT (6434773.461897654 1830927.6826581226)
232,Son0280,381404122264301,Sonoma Creek,38.23466667,-122.4454444,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,5.0,,800,POINT (6433713.413563641 1847594.5110926135)
228,Son0276,381411122265201,Sonoma Creek,38.23655556,-122.4480278,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,7.0,,450,POINT (6432974.734041772 1848286.0513963492)
354,Son0417,SV-M17-03,Sonoma Creek,38.24099154,-122.4508977,,,,,,,,,,,,,,,,,,,,,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6432158.4052065415 1849905.6184734618)
320,Son0382,004N005W14D002M,Sonoma Creek,38.1975,-122.3899,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6449610.267153322 1833985.8367741858)
317,Son0379,004N005W02Q002M,Sonoma Creek,38.2156,-122.3807,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6452281.925983138 1840566.3304760468)
261,Son0313,381258122221901,Sonoma Creek,38.2163333,-122.3720806,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,10.0,,700,POINT (6454759.575410156 1840823.1380443794)
259,Son0311,381322122231801,Sonoma Creek,38.2228333,-122.3884444,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,140.0,302,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,25.0,,318,POINT (6450068.039832019 1843209.97057281)
260,Son0312,381326122225601,Sonoma Creek,38.2237722,-122.3822778,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,40.0,,328,POINT (6451841.107667341 1843544.3953076531)
166,Son0193,SV-Q18-01,Sonoma Creek,38.22518283,-122.3786336,Survey_ElevNAD88,41.0,290.0,,,,,,,,,,,,,,,41.0,290,Medium (200-500ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,51.69,,375,POINT (6452890.1928706635 1844053.7418164804)
101,UPE11-0047_1,UPE11-0047_1,PRMD,38.22961552,-122.3998547,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,48.74,,,POINT (6446800.795336874 1845694.1298791645)
254,Son0306,381352122243901,Sonoma Creek,38.23113889,-122.4110833,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,12.0,,,POINT (6443577.700248453 1846263.2900052525)
429,Son0492,4901254-004,Sonoma Creek,38.231448,-122.382337,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6451835.861896167 1846339.8488153066)
27,UPE05-0053_1,UPE05-0053_1,PRMD,38.23294445,-122.3966932,,,,,,,,,,,,,,,,,,,,,NAPA-SONOMA VALLEY - SONOMA VALLEY,68.4,,,POINT (6447714.282520924 1846902.4859721332)
222,Son0267,381313122271601,Sonoma Creek,38.22038889,-122.4545556,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,10.0,,160,POINT (6431070.245920175 1842407.7793993878)
318,Son0380,004N005W06E001M,Sonoma Creek,38.221,-122.4605,,,,,,,,,,,,,,,,,,70.0,100,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,,,100,POINT (6429363.529314387 1842638.9245721973)
342,Son0404,382211N1224606W001,Sonoma Creek,38.2211,-122.4606,GIS_Elev,70.0,100.0,,,,,,,,,,,,,,,70.0,100,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,27.5603876398,,100,POINT (6429334.983864001 1842675.4880485614)
77,PLP09-0098_1,PLP09-0098_1,PRMD,38.2213787,-122.4552722,,,,,,,,,,,,,,,,,,160.0,80.0,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,12.45763211688416,,160.0,POINT (6430866.170632176 1842769.2782321705)
137,Son0160,SV-M18-02,Sonoma Creek,38.22138057,-122.4591361,Survey_ElevNAD88,40.0,150.0,,,,,,,,,,,,,,,40.0,150,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,21.14,,230,POINT (6429756.0789513 1842775.5395190592)
78,PLP09-0098_2,PLP09-0098_2,PRMD,38.2214722,-122.4554167,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,12.407067417445278,,,POINT (6430824.826569983 1842803.5369063937)
139,Son0162,SV-M18-05,Sonoma Creek,38.22253921,-122.4553368,Survey_ElevNAD88,8.0,20.0,,,,,,,,,,,,,,,8.0,20,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,13.10692,,20,POINT (6430849.729029553 1843192.0057266813)
138,Son0161,SV-M18-03,Sonoma Creek,38.22602368,-122.4568068,Lidar_Elev_NAVD88,65.0,105.0,120.0,198.0,,,,,,,,,,,,,65.0,198,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,12.43,,198,POINT (6430433.785785787 1844463.0974999452)
